id,UMAP1,UMAP2,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30
"011,001",10.7029,-30.0233,0.0347,0.0396,0.0161,0.0234,0.0329,0.0023,0.0435,0.1158,-0.0440,0.0076,-0.0282,0.0798,0.0105,0.1511,-0.1206,0.2118,0.0514,0.0302,0.1694,0.1728,-0.1235,0.3377,-0.1253,-0.0010,0.1713,0.1667,-0.0619,0.2099,0.0940,0.0599
"011,003",50.6006,9.3178,-1.2939,0.7301,1.0254,-0.6621,-0.3582,0.3299,0.0356,-0.1643,-0.0701,0.2269,0.2390,-0.4335,-0.1097,-0.4404,0.0790,0.1357,0.0367,0.0387,0.2344,0.0762,0.0490,0.0806,0.1883,-0.0732,0.1280,-0.0101,0.0106,-0.0945,-0.0510,-0.0093
"011,004",0.0879,16.8165,0.1380,0.0775,0.0780,-0.0470,-0.1024,-0.1682,-0.0047,-0.0170,-0.1038,0.1274,-0.0387,0.1571,0.0423,0.0089,0.1121,-0.0049,0.0402,0.1297,0.0682,0.0426,-0.0833,-0.0950,0.0420,-0.0166,-0.1018,-0.0566,-0.0016,-0.0276,0.0603,-0.0070
"016,001",-34.4768,-5.8342,0.0816,0.0146,-0.1971,-0.0871,0.0748,0.2878,0.0784,-0.1372,-0.1176,-0.0108,-0.0530,-0.0796,0.0640,-0.2292,-0.3020,-0.5733,-0.4003,0.3792,-0.1091,0.3743,0.3498,0.0568,0.0140,-0.2158,-0.1290,-0.1854,-0.2379,0.0058,0.0236,0.2521
"016,002",21.0812,17.4697,0.1514,0.0793,0.0629,-0.0655,-0.1103,-0.0779,-0.1058,0.1972,-0.1083,0.2032,-0.1504,0.0192,-0.1095,0.1052,-0.1281,0.0680,-0.0394,-0.1940,-0.0750,0.1136,-0.1510,-0.1682,0.1049,0.0847,0.0612,-0.0282,-0.0845,-0.3573,0.0394,0.4355
"016,006",-2.7048,20.2668,0.1915,0.0470,0.0514,0.0065,-0.1249,-0.0841,-0.0318,0.1726,-0.1005,0.1921,-0.0172,0.0577,0.0226,-0.0892,0.0189,0.1532,0.0453,-0.0065,0.0825,0.0168,-0.0202,0.2247,-0.1584,0.0726,0.1093,0.1154,-0.1077,0.0744,0.1625,-0.0319
"016,007",20.9381,-3.7724,-0.1293,0.0724,0.0877,0.0469,-0.0425,-0.0155,-0.0392,-0.0190,-0.0414,0.0468,-0.0864,0.3194,0.0082,0.1586,0.0476,-0.0417,-0.0223,0.3722,0.1310,0.0675,-0.0567,0.0391,-0.2868,0.0603,-0.1364,-0.0752,-0.0144,0.0528,0.1258,-0.0522
"016,008",-27.8230,6.8932,0.2163,0.0298,0.0455,-0.0565,-0.2093,0.0162,0.0018,0.0355,-0.1301,0.0861,-0.0386,0.0216,0.2547,-0.1515,-0.4160,-0.2850,0.1175,0.0737,0.1327,0.0395,-0.0642,-0.0845,0.1345,-0.0084,0.0205,0.0607,-0.0958,-0.1736,0.0113,0.2058
"016,011",4.1193,12.6088,0.0475,0.0552,0.0198,-0.0262,0.0130,0.0346,-0.0377,0.0062,0.0989,0.0732,-0.3347,0.0565,0.1694,-0.0454,-0.0201,-0.0551,-0.1509,0.0902,-0.1060,0.2068,-0.1068,0.0166,-0.0178,-0.0793,-0.0012,-0.1944,-0.0348,0.0115,-0.0240,0.0406
"016,012",20.7242,-2.6426,-0.1365,0.1102,0.1059,-0.0719,0.0207,0.0319,-0.0467,-0.0057,-0.0286,-0.0940,-0.0513,0.1033,-0.0322,0.3380,0.0614,-0.1944,-0.1197,-0.2538,-0.2638,0.0263,-0.0251,0.1471,0.0828,0.2780,-0.0203,-0.0623,-0.0433,0.0434,-0.1881,-0.0673
"016,014",0.4599,27.3935,0.2472,0.0576,0.0651,-0.1076,-0.1039,-0.1571,-0.0100,0.1139,-0.0854,0.2498,-0.1117,-0.0460,-0.0791,-0.1233,0.1511,-0.0008,0.1177,-0.1342,-0.0011,-0.0524,0.0170,0.0704,-0.0749,0.0007,-0.0013,-0.2346,-0.1132,-0.0329,-0.0806,-0.0337
"016,015",-36.0019,35.6298,0.3149,0.0373,0.0702,-0.2191,0.0325,-0.0810,-0.3905,0.1150,1.0727,-0.0798,0.6068,0.1042,-0.4229,-0.1321,-0.1682,-0.0271,-0.0085,0.1274,-0.0306,-0.1746,0.0678,0.1047,-0.0016,0.2106,-0.1173,0.0523,0.0356,0.0498,-0.1253,0.3264
"016,015a",-3.1694,20.1227,0.2169,0.0318,0.0270,-0.0473,-0.2048,0.0197,-0.0107,-0.2022,-0.0734,-0.0024,-0.1205,0.1119,0.0046,-0.0597,0.1756,-0.0979,0.1346,0.0726,0.0848,0.1179,-0.1701,0.0522,-0.0704,0.0176,0.0241,-0.1764,0.0780,0.0519,-0.0030,0.0270
"016,016",-8.1693,24.9401,0.2480,0.0192,0.0151,-0.0217,-0.1802,-0.0027,-0.0110,0.1927,-0.1873,0.1844,0.0038,0.0855,0.1945,-0.3139,0.1814,0.1315,-0.0202,0.0988,-0.0381,-0.1741,0.0246,0.0051,0.0257,0.2534,-0.2466,0.1853,0.1385,-0.0819,-0.0521,0.1353
"016,017",-13.4809,-9.9942,0.0403,-0.0379,-0.0778,0.0398,0.0360,0.0875,0.1479,0.1313,0.0330,-0.1046,0.0947,-0.1190,-0.0513,0.0144,0.0234,-0.0801,-0.0615,-0.0106,-0.1627,0.1629,0.0161,0.1493,0.1038,0.0225,-0.0378,0.0494,0.0909,-0.0750,-0.1329,-0.1643
"016,017a",13.2625,-29.4888,0.1712,0.0293,-0.0383,-0.0094,0.0237,0.1121,-0.0155,-0.1512,-0.0546,-0.0392,-0.1174,0.0612,0.0186,-0.0375,0.1478,0.1571,0.1606,0.1578,0.2311,0.3101,-0.2482,0.4536,-0.1362,-0.1091,-0.0754,-0.0816,0.1397,0.3114,0.2604,0.0274
"016,020",-24.8757,28.9813,0.1891,0.0463,0.0748,-0.0956,-0.0322,-0.1481,-0.1875,0.0481,0.4316,-0.0184,0.2288,0.1452,-0.0752,-0.0364,-0.0511,-0.0424,-0.0756,0.0954,0.0796,-0.0302,-0.1401,0.0033,0.0210,-0.0210,-0.0888,-0.0049,0.0072,0.0552,-0.0713,0.1729
"016a,001",-17.7087,16.7481,0.2261,-0.0986,0.0783,-0.0208,-0.2436,-0.0876,0.1175,0.0159,-0.0650,0.0507,0.0680,-0.0651,0.0521,-0.1369,0.0872,0.2160,0.1345,-0.1249,-0.0348,0.1075,-0.0494,-0.1315,0.1138,-0.0150,-0.3340,0.0303,-0.0097,0.0058,0.2753,0.0297
"017,001",12.9301,7.0864,-0.0684,0.1296,0.0414,-0.0631,0.0740,-0.1244,0.0024,-0.0203,-0.0693,0.0448,-0.1242,0.1983,-0.2537,0.2807,0.0983,-0.2027,-0.0260,0.2786,-0.1004,0.1199,-0.1266,0.0871,-0.1650,0.1644,-0.0805,-0.0146,0.1290,0.0647,0.1071,0.0697
"017,002",-12.0185,-2.3351,0.0539,-0.1203,-0.0129,0.1947,-0.1840,0.1200,0.1188,-0.0920,-0.0104,-0.0743,0.0801,-0.1384,-0.0247,-0.0117,0.0472,0.0029,-0.0575,-0.0894,-0.0554,0.0231,0.0876,0.0447,0.0525,-0.0219,0.1052,0.0924,0.0426,0.0539,-0.0041,-0.1104
"019,001",-3.5010,-23.8294,-0.0826,0.0380,0.0482,0.0999,-0.0005,-0.1529,0.1034,0.0577,-0.0326,-0.1318,-0.1840,0.4049,-0.2084,-0.1027,-0.1454,0.1406,0.0255,0.0481,0.1852,0.1302,0.0334,0.0713,-0.1478,-0.0255,-0.0359,-0.0442,0.0346,0.0747,0.1328,-0.0732
"020,002",3.1059,33.0880,0.2931,0.0672,0.0194,-0.1017,-0.1393,-0.0337,-0.0694,0.1242,-0.1304,0.2358,-0.0450,0.0782,0.0386,-0.2380,0.1473,-0.0656,0.0037,-0.1030,-0.1057,0.0305,0.1920,-0.0627,-0.0755,0.0554,0.1551,-0.0466,-0.0058,0.1218,-0.0071,-0.0252
